0,1,2,3,4,5
8600,-13876,8784,-24675,-3052,-6639
9944,-11404,9180,-8789,-271,-6736
11480,-8528,7772,-9218,1299,-1151
9112,-14104,6920,1575,-1695,-1136
11760,-12456,6944,16776,6976,-1444
10712,-7304,10084,23444,2560,3483
10936,4896,10352,26825,3403,2803
11440,796,15800,29193,-3106,-3082
6404,13284,9792,22765,9792,-4843
4720,12944,10976,5688,3553,-1919
4436,14840,9208,-5674,-797,-458
6948,13612,10608,-10780,-6651,1775
10676,6448,12632,-18192,2207,-3947
7856,-1744,14176,-22099,-4242,-6791
11912,-14376,11288,-22281,-972,-5822
11016,-8120,11920,-16767,-1920,-2488
12752,-6832,9972,-8243,747,-150
9912,-11056,8732,-717,-851,-578
10800,-10700,8432,13313,-535,-353
10792,-8548,11448,21690,5420,3292
8860,4152,11108,27033,8991,2070
10096,4984,17700,20153,510,-634
9152,13028,11840,14263,7472,-2284
5416,12052,12988,4605,3594,-2230
3144,11848,11348,-7810,-1046,1197
7008,9772,9916,-4464,-5563,785
11896,10240,11984,-9647,2788,-3158
8828,4696,17828,-21406,-4921,-10621
9712,-17124,11384,-26574,-4853,-1306
8156,-7356,11556,-16842,-1507,-4849
12528,-7660,9792,-9043,-490,-1801
10376,-9932,7008,7686,-239,19
10244,-8280,7292,14659,1945,2908
13964,-6684,9440,29913,5234,3788
8004,7268,12876,18313,2833,4922
13648,6396,13772,14275,1446,3758
7456,9520,13452,11315,3921,-2652
5236,12168,12056,173,2490,-3846
6716,9280,13144,-5796,-5935,-3224
12132,12756,11156,-13566,4207,-5913
12756,-2280,13356,-29602,-2734,-7316
7932,-8424,12760,-14775,-2354,-7595
10824,-7344,11600,-9395,-3387,-5737
9664,-8200,9636,-8563,-1290,105
9128,-11556,8264,-973,-3486,-713
11532,-11384,8692,23051,9004,-294
12456,-6036,11196,26063,4852,3734
6508,4700,13284,20461,1994,3006
6884,12208,11604,18870,6326,933
6548,11984,12044,3563,3772,-506
4952,9676,9700,-6261,-3027,30
8348,12752,9640,-10214,-496,1370
8412,3724,11852,-25936,1591,-7585
13172,72,10880,-26009,-2488,-6196
10388,-7544,13500,-13882,-1577,-3789
10560,-7824,10940,-12999,-187,-1239
8864,-12280,8096,2908,619,-1435
10472,-8376,11944,23543,9441,2089
10912,488,9656,26799,7689,1636
7252,2680,18744,20806,-2110,-3322
8020,-484,15024,-16310,508,-3652
12668,-7124,13512,-17594,-3691,524
8824,-6216,12688,-10659,-2421,-1959
7524,-13056,9440,71,-1627,-967
9736,-8336,10812,18323,1904,-2686
12768,-8540,9980,25465,4396,-416
7056,9748,13232,9657,4469,3373
6936,8696,15688,16776,6128,-2764
7024,9196,14100,6414,4609,13
4340,9528,12844,-5227,-1553,860
12516,11192,7472,-7888,2612,-4791
10572,3532,13648,-24503,1719,-7192
8376,1016,15392,-22593,-1702,-6586
9188,-5932,12984,-9767,-2690,-6934
9236,-6060,13680,-9261,-2428,-4071
8652,-5896,12012,-11554,-2282,523
8468,-8376,12236,-660,-2326,1561
8540,-9376,11760,6766,-1568,-3965
11220,-7740,10020,24870,2148,-1399
9228,1108,12280,25273,4897,-747
11568,2704,11156,18854,2930,-6879
6964,14784,10400,17411,9193,-2695
6972,13160,10928,2424,4024,1166
5316,11044,11584,-5460,1885,3302
5384,7332,13252,-10825,599,1540
7728,6268,12240,-7425,2515,-1598
6728,4424,13996,-17999,2136,-6909
7740,6164,15852,-29164,-8821,-4502
6916,-4612,12620,-14018,-4610,-4104
9392,-12684,11036,-14236,-3800,-3832
8840,-5816,9780,-6675,-855,1345
9228,-12432,8792,4536,-243,2573
8808,-9008,9880,18234,339,1171
11252,-9028,9652,22839,1748,242
7796,1284,11232,28613,6450,253
8032,9616,12752,11256,966,-2265
8708,12396,12208,10917,3830,-4152
7428,8592,13132,1743,3171,-1749
3972,10192,12132,-7555,-1117,-3064
6776,9624,13848,-4914,-1850,-196
7184,7276,11784,-11526,998,-2783
8404,864,14844,-32466,-5428,-6208
11656,-4972,12692,-15388,-1957,-3220
6084,-11668,11592,-11246,-3768,-3329
8848,-7780,10660,-3883,-278,-1608
8340,-10348,10216,954,-1202,-1002
10660,-9316,9888,13437,1927,-2441
